timestamp,user,text,user_sentiment
2021-07-25 16:30:26,banditlink, Gigachad Carlson vs the pregnant man apple emoji.,positive
2021-07-25 16:30:30,schmelonbun, wei ying with his beloved steed (and new shorts!!)  ,positive
2021-07-25 16:30:31,0luis200, Fuck U,neutral
2021-07-25 16:30:30,TrimbleSam," if you push voting without an ID then you are trying to cheat.

Everyone can get an ID.",negative
2021-07-25 16:30:25,John_weber_," if you push voting without an ID then you are trying to cheat.

Everyone can get an ID.",negative
2021-07-25 16:30:32,trunghieuveluv," Today is WanD! 💙

Stream DJ Wendy :
iOS:  
Android: 

Send comment:
…",positive
2021-07-25 16:30:30,DavidKister1, Republicans who incited the January 6 insurrection are not permitted to serve on the investigatory committee for the sa…,negative
2021-07-25 16:30:26,dragon_lady_51, Republicans who incited the January 6 insurrection are not permitted to serve on the investigatory committee for the sa…,negative
2021-07-25 16:30:27,powwhead, Republicans who incited the January 6 insurrection are not permitted to serve on the investigatory committee for the sa…,negative
2021-07-25 16:30:21,Rajeh44961284,"portable charging station for apple devices 
➤ $ 23.99. 
➤  20% and Use Discount code(save20… ",positive
2021-07-25 16:30:24,AdriannyJoselin, This At Apple Bees On Union 🤦🏼‍♀️ Memphis Just Don’t Surprise Me ,negative
2021-07-25 16:30:30,loneinthedark84,"  Fools rush in where angels fear to tread...

I don’t think  will like this. ",positive
2021-07-25 16:30:21,jeajeajee, jeno made sure that his apple tattoo could be seen 😃😃😃 im fine i swear 😃😃😃 ,neutral
2021-07-25 16:30:25,HatersKissMyAzz,Ayo US barbz. U finna run up or wut?  with the funds,positive
2021-07-25 16:30:34,qiqimychild," Farewell, Golden Apple Archipelago 🌜 ",negative
2021-07-25 16:30:34,revt23," IF YOU MISSED LAST WEEK'S SHOW…Epi261 &  clipping comedy soundcasts 3 Girls 1 Kitchen, Strange Times, and Round S…",negative
2021-07-25 16:30:21,lfkraus, It’s really quite astounding when you consider the fact that only 2 out of 211 House Republicans (less than 1%) can be t…,negative
2021-07-25 16:30:25,BeadingfanNancy, It’s really quite astounding when you consider the fact that only 2 out of 211 House Republicans (less than 1%) can be t…,negative
2021-07-25 16:30:28,paulmcclintock, Fury at 'vile' speech made at anti-vax rally as doctors and nurses threatened - LBC  Here is what the Nazi Republican…,negative
2021-07-25 16:30:33,mamacee7," “passenger tells him, ""I got you on camera, bro."" The officer responds, ""I got you on camera, we’re all good."" 
Wisconsin poli…",positive
2021-07-25 16:30:23,JibanCh36487819, Maan Ki Baat: PM  lauds Tripura youth for cultivating Apple Ber ,positive
2021-07-25 16:30:21,HiroGallery,"Up to 50% off Apple | eBay. Plus they all ship free.  1
  ",positive
2021-07-25 16:30:28,D_larryyjjhay," PSA: This shit is addictive 
‼️‼️ ",positive
2021-07-25 16:30:25,ROCKIN6to6,Download The Rockin626 app  This Drinkin' Will Kill Me by  ROCKIN626! Download… ,positive
2021-07-25 16:30:33,DrAndyDPT,"New Soccer Fitness Experience podcast episode is out! ⚽🎙️🎧🔥

This week, we talk about 4 Tips for Buying New Cleats… ",positive
2021-07-25 16:30:22,sharminazira,IS THIS A SIGN FOR ME TO BUY THIS?!! 😢 jangan muncul kt tl plsssss,positive
2021-07-25 16:30:26,hjoliday,"⚡️ PREMIUM APPS ⚡️

• Netflix
• Spotify
• Apple Music
• Viu
• Youtube

✅bergaransi
💳terima all bank & e-wallet

jua… ",negative
2021-07-25 16:30:20,PrudeToNude,  I think I’ll do the same😕,positive
2021-07-25 16:30:22,omega_paladin,Buried in concrete: how the mafia made a killing from the destruction of Italy’s south - The Guardian ,negative
2021-07-25 16:30:23,YourNewsCity1,Apple iPhone 13 Series May Support 25W Fast Charging: Report ,positive
2021-07-25 16:30:31,pavery56," Looks like your the big ole liar here!

",positive
2021-07-25 16:30:23,NewsForever2020,It’s Schmigadoon! Apple Tv+ Musical Series Falls Into The Very Trap It Consciously Mocks ,negative
2021-07-25 16:30:22,carlosjharris,Sunday’s mindset: ,positive
2021-07-25 16:30:22,fyshcracker,This sums it up for me.  ,positive
2021-07-25 16:30:32,Promotelattei1,"🍁 open reseller cek @ punyalattei1

t. Jual netflix, viu spotify apple music youtube disney+",positive
2021-07-25 16:30:49,kyeoscity," ATINY!

•WAVE TARGET: 90K Shazams
•DREAMERS TARGET: 5K Shazams

Shazam-ing songs will help increase ATEEZ’s algorithms a…",positive
2021-07-25 16:30:45,edddcat, .’s “Ain’t Shit” has surpassed ’s “good 4 u” and is now the highest female song on Apple Music US…,positive
2021-07-25 16:30:47,KimCondas, Republicans who incited the January 6 insurrection are not permitted to serve on the investigatory committee for the sa…,negative
2021-07-25 16:30:39,Brieezy_F_Baby, Republicans who incited the January 6 insurrection are not permitted to serve on the investigatory committee for the sa…,negative
2021-07-25 16:30:40,row_bear_tuh," I was told that my vaccination would grow me a tail? I haven’t gotten my tail.
Where’s my Fkcing tail they told me I’d…",negative
2021-07-25 16:30:44,nancyallenkane, Republicans who incited the January 6 insurrection are not permitted to serve on the investigatory committee for the sa…,negative
2021-07-25 16:30:49,MaritesTan16, Things are heating up in Schmigadoon. Here’s Carson with the latest. Watch a new episode of Schmigadoon on Apple TV+ …,positive
2021-07-25 16:30:46,elsagrangier,Fellow  !!!!,positive
